,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA,3PT%,PTS,DREB,OREB,REB,AST,ST,BLK,TO,zFGM,zFGA,zFG%,zFTM,zFTA,zFT%,z3PTM,z3PTA,z3PT%,zPTS,zDREB,zOREB,zREB,zAST,zST,zBLK,zTO,zTotal,is_g,is_pg,is_sg,is_f,is_sf,is_pf,is_c,is_util,num_elig_positions,rand_team,cat_win,cat_loss,matchup_win,matchup_loss,cat_perc,matchup_perc
151,Jrue Holiday,7.655,16.927,0.452,2.164,3.091,0.7,2.091,5.855,0.35700000000000004,19.564,3.6,1.273,4.873,6.8729999999999976,1.673,0.8,2.873,1.4280000000000002,1.555,-0.243,0.076,0.245,-0.8190000000000001,0.792,0.8759999999999999,-0.079,1.142,-0.122,0.248,-0.008,2.137,2.262,0.607,-1.587,0.501,1,1,1,0,0,0,0,1,4,0,21836.0,24963.0,6240.0,7100.0,0.4665911664779162,0.4677661169415293
131,Jayson Tatum,8.458,18.864,0.448,3.814,4.729,0.8059999999999999,2.8310000000000004,7.119,0.398,23.559,6.119,0.966,7.085,2.949,1.4069999999999998,0.898,2.237,1.807,1.994,-0.4,1.146,1.113,0.456,1.622,1.423,1.423,1.807,1.253,-0.124,0.879,0.087,1.527,0.8190000000000001,-0.82,0.942,0,0,0,1,1,1,0,1,4,0,21544.0,24846.0,6233.0,7057.0,0.4644104332830352,0.4689992475545523
95,Fred VanVleet,5.979,14.604,0.409,2.917,3.458,0.843,2.729,7.0420000000000025,0.388,17.604,3.375,0.375,3.75,6.604,1.896,0.271,2.292,0.635,1.029,-1.29,0.564,0.439,0.769,1.508,1.39,1.032,0.815,-0.245,-0.84,-0.458,1.997,2.878,-0.536,-0.885,0.518,1,1,1,0,0,0,0,1,4,0,22219.0,26122.0,6344.0,7431.0,0.4596305413624046,0.4605444646098004
178,Kyle Lowry,5.942,14.25,0.417,4.904,5.692,0.861,2.942,8.308,0.354,19.731,4.25,0.5770000000000001,4.827,7.672999999999999,1.346,0.423,2.962,0.618,0.949,-1.071,1.854,1.6230000000000002,1.6130000000000002,1.747,1.938,-0.27,1.17,0.233,-0.595,-0.026,2.556,1.36,-0.207,-1.694,0.6940000000000001,1,1,0,0,0,0,0,1,3,0,18547.0,21934.0,5321.0,6194.0,0.4581655591512067,0.4620929222752931
104,Gordon Hayward,6.778,13.489,0.502,2.089,2.467,0.847,1.644,4.2,0.392,17.289,5.533,1.0,6.533,4.1110000000000015,0.778,0.444,1.756,1.013,0.777,0.985,0.027000000000000003,-0.086,0.579,0.29100000000000004,0.16,0.7290000000000001,0.763,0.934,-0.083,0.6579999999999999,0.6940000000000001,-0.21,-0.161,-0.239,0.402,1,0,1,1,1,0,0,1,5,0,22364.0,26449.0,6422.0,7543.0,0.4581566386003729,0.4598639455782313
211,Mitchell Robinson,4.148,5.59,0.742,1.3769999999999998,2.426,0.568,0.0,0.0,0.0,9.672,3.967,3.049,7.016,0.59,0.852,1.951,0.607,-0.231,-1.011,2.738,-0.435,-0.108,-1.734,-1.554,-1.658,0.061,-0.505,0.079,2.399,0.852,-1.145,-0.004,3.091,1.148,0.117,0,0,0,0,0,0,1,1,2,0,22764.0,27000.0,6543.0,7687.0,0.4574391126115264,0.4598032326071679
258,Stephen Curry,6.6,16.4,0.402,5.2,5.2,1.0,2.4,9.8,0.245,20.8,4.4,0.8,5.2,6.6,1.0,0.4,3.2,0.929,1.436,-1.649,2.046,1.3630000000000002,3.923,1.139,2.584,-6.025,1.348,0.315,-0.325,0.124,1.995,0.403,-0.257,-1.981,0.433,1,1,1,0,0,0,0,1,4,0,21232.0,25396.0,6086.0,7239.0,0.45534871750879297,0.456735459662289
141,Jonas Valanciunas,6.21,10.597,0.586,1.984,2.71,0.732,0.468,1.274,0.3670000000000001,14.871,8.161,3.065,11.226,1.758,0.403,1.113,1.726,0.7440000000000001,0.122,2.311,-0.041,0.043,-0.421,-1.029,-1.106,0.098,0.36,2.369,2.417,2.539,-0.535,-1.245,1.2819999999999998,-0.203,0.453,0,0,0,0,0,0,1,1,2,0,22574.0,27038.0,6468.0,7707.0,0.4550108844634362,0.4562962962962963
65,Dejounte Murray,4.397,9.259,0.475,1.293,1.621,0.7979999999999999,0.586,1.5519999999999998,0.378,10.672,4.621,1.155,5.776,4.086,1.724,0.276,1.862,-0.114,-0.18,0.238,-0.489,-0.535,0.113,-0.8959999999999999,-0.986,0.194,-0.338,0.435,0.105,0.354,0.6809999999999999,2.404,-0.525,-0.3670000000000001,0.006,1,1,0,0,0,0,0,1,3,0,17724.0,21724.0,5070.0,6200.0,0.4493003447576556,0.4498669032830523
234,Paul George,6.9289999999999985,16.048,0.4320000000000001,3.929,4.452,0.882,3.167,7.9289999999999985,0.399,20.952,5.214,0.524,5.738,3.857,1.3330000000000002,0.476,2.69,1.084,1.356,-0.7979999999999999,1.221,0.966,1.579,1.999,1.774,1.653,1.3730000000000002,0.759,-0.659,0.339,0.562,1.324,-0.093,-1.367,0.769,0,0,0,1,1,1,0,1,4,0,19979.0,24595.0,5713.0,6992.0,0.44822093597164253,0.4496654860291224
